pid,degree
26388279067812,896
26388279067500,126
37383395349172,441
32985348837244,495
8796093031080,1325
4398046513040,1003
26388279073680,1295
13194139536588,2044
19791209301844,870
5928,514
4992,887
4398046519464,2330
32985348843444,1710
21990232564988,312
2199023257192,617
19791209304804,1000
28587302330248,799
32985348836992,2237
4398046517676,381
30786325581944,361
6597069769336,1178
4398046515912,264
35184372092820,1332
26388279069712,982
13194139535192,291
4398046517628,679
24189255814616,1084
17592186047160,944
9336,2438
4398046520256,4952
6597069769480,423
21990232564620,491
24189255812628,860
30786325578372,401
28587302322648,210
24189255814328,2508
32985348840316,1197
19791209309836,549
17592186053772,671
6597069774840,3156
30786325584480,265
17592186046968,1314
15393162795908,1228
28587302329524,2517
28587302322712,283
4398046521984,448
37383395349900,1325
28587302326788,4788
30786325582852,1730
21990232565012,520
26388279077428,759
28587302324620,302
17592186051752,643
17592186054036,371
32985348840088,257
15393162798392,3519
6597069771824,499
26388279074112,670
32985348843616,258
26388279071276,1135
1020,1268
19791209305592,201
6597069773428,1144
19791209303668,2278
2199023263092,1416
10995116283072,165
6597069771304,895
10995116285480,717
1656,913
4398046517652,1677
30786325578192,705
6597069773776,1107
8796093022968,41
26388279072272,1850
30786325584816,745
21990232559276,263
35184372093552,2339
4398046516880,694
5688,1825
10995116286784,1040
21990232557756,3757
17592186049556,1079
24189255812964,750
10995116285356,959
28587302325080,647
30786325581144,497
24189255817328,487
28587302326556,1556
21990232563484,887
21990232556244,921
28587302331916,880
24189255813300,2313
32985348833424,988
17592186051056,767
8796093023952,909
35184372089124,180
6597069770556,126
10995116279908,749
6468,764
24189255816568,1526
4398046513016,1534
24189255816268,461
6597069774660,2571
19791209306276,4409
19791209299968,327
17592186048492,743
28587302326124,928
19791209306928,450
37383395354764,1142
26388279075120,411
6597069767124,603
8796093026260,453
3096,250
24189255820824,1522
8796093032968,1139
17592186048872,591
17592186048824,911
15393162792760,1247
2199023255976,2306
30786325588492,707
28587302331828,548
35184372091584,325
24189255817544,666
17592186055188,1502
28587302330388,1663
2199023263300,377
21990232558236,252
8796093026568,489
17592186051500,400
6597069774600,991
30786325585328,164
2199023263600,1056
6597069770328,748
15393162798380,823
10995116279716,1913
6804,607
4398046514100,2821
24189255818148,326
6597069769140,172
32985348835008,770
6597069773452,781
6597069773280,1241
2199023263200,2728
6597069774672,1340
15393162793696,2648
15393162790196,1526
2199023257908,694
26388279074760,8555
4398046512072,997
28587302325788,952
4398046511700,1053
19791209308248,728
6597069777336,397
37383395347896,691
35184372096420,766
30786325587164,558
21990232566144,1899
19791209304296,952
8796093026712,270
24189255816424,321
4398046518680,147
35184372094812,478
2199023259532,669
19791209308620,1342
