date|lengththreshold|language
2011-10-10|24|en
2011-10-10|13|en
2011-10-10|34|en
2011-10-10|37|en
2011-10-10|38|en
2011-10-10|57|en
2011-10-10|58|en
2012-02-15|24|en
2012-02-15|13|en
2012-02-15|34|en
2012-02-15|37|en
2012-02-15|38|en
2012-02-15|57|en
2012-02-15|58|en
2012-03-04|24|en
2012-03-04|13|en
2012-03-04|34|en
2012-03-04|37|en
2012-03-04|38|en
2012-03-04|57|en
2012-03-04|58|en
2011-10-10|24|fr
2011-10-10|13|fr
2011-10-10|34|fr
2011-10-10|37|fr
2011-10-10|38|fr
2011-10-10|57|fr
2011-10-10|58|fr
2012-02-15|24|fr
2012-02-15|13|fr
2012-02-15|34|fr
2012-02-15|37|fr
2012-02-15|38|fr
2012-02-15|57|fr
2012-02-15|58|fr
2012-03-04|24|fr
2012-03-04|13|fr
2012-03-04|34|fr
2012-03-04|37|fr
2012-03-04|38|fr
2012-03-04|57|fr
2012-03-04|58|fr
